epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
77,11182,0.87819,1.35242,1.37566,0.77209,0.66994,0.73361,0.63972,0.55501,0.8883,1.09049,0.00046425,0.00015475,0.00046425,0.00015475,0.00046425,0.00015475,0.00046425,0.00015475
78,11334.7,0.88604,1.36714,1.38317,0.78754,0.65595,0.73889,0.64578,0.5487,0.88602,1.08863,0.000445687,0.000148563,0.000445687,0.000148563,0.000445687,0.000148563,0.000445687,0.000148563
79,11492.5,0.87513,1.33775,1.36871,0.83018,0.62716,0.74088,0.64915,0.54724,0.87747,1.08563,0.000427125,0.000142375,0.000427125,0.000142375,0.000427125,0.000142375,0.000427125,0.000142375
80,11650.9,0.88307,1.3494,1.37894,0.86261,0.62062,0.74693,0.65057,0.54943,0.871,1.08639,0.000408562,0.000136187,0.000408562,0.000136187,0.000408562,0.000136187,0.000408562,0.000136187
81,11797.9,0.8675,1.3236,1.36686,0.84527,0.63589,0.74216,0.64816,0.54616,0.86812,1.08421,0.00039,0.00013,0.00039,0.00013,0.00039,0.00013,0.00039,0.00013
82,11927.4,0.8782,1.34096,1.37211,0.84776,0.63552,0.7399,0.64879,0.54664,0.87352,1.08284,0.000371437,0.000123812,0.000371437,0.000123812,0.000371437,0.000123812,0.000371437,0.000123812
83,12073.4,0.86663,1.31824,1.36781,0.84705,0.63949,0.74738,0.65474,0.54469,0.86516,1.08313,0.000352875,0.000117625,0.000352875,0.000117625,0.000352875,0.000117625,0.000352875,0.000117625
84,12228.1,0.86323,1.32554,1.36295,0.85703,0.64138,0.74967,0.65546,0.54429,0.85941,1.08167,0.000334313,0.000111438,0.000334313,0.000111438,0.000334313,0.000111438,0.000334313,0.000111438
85,12363.3,0.87607,1.34022,1.37489,0.83437,0.64724,0.74539,0.654,0.54294,0.86248,1.07907,0.00031575,0.00010525,0.00031575,0.00010525,0.00031575,0.00010525,0.00031575,0.00010525
86,12496.8,0.86776,1.31871,1.36255,0.71981,0.66616,0.7466,0.65356,0.54217,0.8559,1.07831,0.000297188,9.90625e-05,0.000297188,9.90625e-05,0.000297188,9.90625e-05,0.000297188,9.90625e-05
87,12650.2,0.86775,1.32209,1.36495,0.84141,0.64072,0.75111,0.65703,0.54221,0.85716,1.08094,0.000278625,9.2875e-05,0.000278625,9.2875e-05,0.000278625,9.2875e-05,0.000278625,9.2875e-05
88,12801.3,0.86337,1.32225,1.36305,0.85083,0.63769,0.74875,0.65728,0.54009,0.85296,1.07735,0.000260063,8.66875e-05,0.000260063,8.66875e-05,0.000260063,8.66875e-05,0.000260063,8.66875e-05
89,12953.7,0.86463,1.31003,1.36185,0.86265,0.62693,0.75019,0.65758,0.53966,0.85192,1.07996,0.0002415,8.05e-05,0.0002415,8.05e-05,0.0002415,8.05e-05,0.0002415,8.05e-05
90,13103.9,0.86825,1.30399,1.36531,0.86723,0.62532,0.754,0.66043,0.53689,0.85321,1.07718,0.000222937,7.43125e-05,0.000222937,7.43125e-05,0.000222937,7.43125e-05,0.000222937,7.43125e-05
91,13280.8,0.63578,1.15465,1.14858,0.85395,0.62597,0.73997,0.64823,0.54956,0.87699,1.0848,0.000204375,6.8125e-05,0.000204375,6.8125e-05,0.000204375,6.8125e-05,0.000204375,6.8125e-05
92,13434.4,0.62154,1.10095,1.13649,0.81677,0.66463,0.74287,0.65162,0.5482,0.87082,1.08081,0.000185812,6.19375e-05,0.000185812,6.19375e-05,0.000185812,6.19375e-05,0.000185812,6.19375e-05
93,13590.7,0.62306,1.08112,1.13697,0.70709,0.69912,0.74132,0.65065,0.54219,0.86706,1.07451,0.00016725,5.575e-05,0.00016725,5.575e-05,0.00016725,5.575e-05,0.00016725,5.575e-05
94,13745.7,0.62263,1.07532,1.13806,0.73,0.67289,0.74082,0.64921,0.54352,0.86297,1.07661,0.000148687,4.95625e-05,0.000148687,4.95625e-05,0.000148687,4.95625e-05,0.000148687,4.95625e-05
95,13899.4,0.61633,1.0686,1.13472,0.70753,0.68227,0.74532,0.65496,0.54004,0.85918,1.07423,0.000130125,4.3375e-05,0.000130125,4.3375e-05,0.000130125,4.3375e-05,0.000130125,4.3375e-05
96,14053.3,0.60864,1.05605,1.12661,0.70766,0.68836,0.74491,0.653,0.54219,0.85596,1.075,0.000111563,3.71875e-05,0.000111563,3.71875e-05,0.000111563,3.71875e-05,0.000111563,3.71875e-05
97,14205.7,0.60641,1.05292,1.13044,0.71172,0.7089,0.74769,0.6567,0.53783,0.85145,1.07168,9.3e-05,3.1e-05,9.3e-05,3.1e-05,9.3e-05,3.1e-05,9.3e-05,3.1e-05
98,14361,0.6052,1.04199,1.13025,0.72043,0.69724,0.74469,0.65444,0.53704,0.85166,1.07097,7.44375e-05,2.48125e-05,7.44375e-05,2.48125e-05,7.44375e-05,2.48125e-05,7.44375e-05,2.48125e-05
99,14497.4,0.61119,1.05237,1.13021,0.71541,0.6959,0.74523,0.65407,0.53728,0.84918,1.07028,5.5875e-05,1.8625e-05,5.5875e-05,1.8625e-05,5.5875e-05,1.8625e-05,5.5875e-05,1.8625e-05
100,14599.1,0.61061,1.03737,1.13275,0.71937,0.69027,0.74639,0.65366,0.53695,0.84895,1.06966,3.73125e-05,1.24375e-05,3.73125e-05,1.24375e-05,3.73125e-05,1.24375e-05,3.73125e-05,1.24375e-05
